lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
55,30,1.0,56.4,12,5.75,4.17,21.32,22.77248694026136
40,30,0.13,61.2,14,5.0,5.0,14.94,14.962516858857166
40,30,0.75,64.96,14,3.93,5.0,14.58,14.573342260490977
40,32,0.8,37.36,14,6.0,5.0,15.86,15.9112658586801
40,30,0.13,40.64,14,5.0,5.0,12.83,12.94609179928574
0,0,0.0,60.32,14,2.86,5.0,12.7,12.693016680294395
40,30,1.0,44.4,14,5.0,5.0,13.61,13.634888579859698
80,35,0.77,48.0,8,3.5,5.0,25.36,25.38289487018871
0,0,0.0,45.28,16,4.19,7.0,8.14,9.830657267244298
50,20,2.0,24.0,16,1.84,4.69,5.95,6.120995988342148
80,50,0.51,44.0,12,3.5,5.0,14.36,14.38614236452582
55,30,2.0,59.9,12,5.75,4.17,25.9,25.271560382252233
0,0,0.0,48.0,12,5.0,5.0,24.19,24.04205652193717
80,60,0.25,42.16,14,5.0,5.0,13.15,13.212330390076737
40,32,2.0,45.75,20,6.0,5.0,20.68,20.59764591343316
55,30,2.0,59.9,12,5.75,4.17,25.43,25.271560382252233
55,30,1.0,44.2,12,5.75,4.17,18.28,17.373232359415475
40,32,0.8,39.63,20,6.0,5.0,18.53,18.621847890313827
50,20,1.0,24.0,16,1.84,4.69,6.05,5.368850880536634
40,30,1.0,52.5,12,5.75,4.17,20.42,20.419699163996714
55,30,2.0,45.2,12,5.75,4.17,16.34,18.852243139531684
65,35,0.5,45.88,16,4.19,5.0,16.94,16.95102622990238
80,35,0.51,44.0,8,5.0,5.0,20.7,20.668428682985205
50,20,0.0,24.0,16,4.19,4.69,13.41,13.552995162318323
80,60,0.75,27.28,14,3.93,5.0,10.69,10.710443028348331
40,32,1.2,40.99,20,6.0,5.0,17.51,17.47740717876484
50,20,1.0,24.0,16,1.84,4.69,5.77,5.368850880536634
55,30,0.0,50.8,12,5.75,4.17,15.1,17.87297387507882
40,30,0.5,42.56,14,5.0,5.0,13.35,13.318304866552042
80,60,1.0,45.52,14,5.0,5.0,14.06,14.036705604549509
80,60,0.75,27.28,14,2.86,5.0,9.68,9.656947826863309
55,30,2.0,59.9,12,5.75,4.17,22.86,25.271560382252233
80,50,0.77,44.0,16,5.0,5.0,23.17,21.946040641147704
40,30,0.5,64.08,14,5.0,5.0,15.66,15.642714242692978
40,30,0.75,26.56,14,5.0,5.0,10.36,10.368645021970778
80,60,1.5,58.9,12,5.75,4.17,23.77,23.77826128999918
45,50,0.51,48.0,8,5.0,5.0,20.9,21.365494005165075
40,30,0.38,25.2,14,3.93,5.0,9.97,9.954796289079082
0,0,0.0,45.28,16,4.19,3.0,19.68,19.84965017613424
40,30,0.13,61.2,14,3.93,5.0,13.67,13.632956939338992
40,30,0.5,64.08,14,2.86,5.0,13.58,13.578251222076474
55,30,1.0,44.2,12,5.75,4.17,18.25,17.373232359415475
55,30,1.0,44.2,12,5.75,4.17,20.01,17.373232359415475
55,30,0.0,50.8,12,5.75,4.17,21.41,17.87297387507882
40,30,0.25,61.92,14,2.86,5.0,13.15,13.202918253678854
80,60,0.5,26.32,14,2.86,5.0,9.42,9.385048123978498
40,32,1.2,48.35,16,6.0,5.0,16.38,16.517522637905596
80,50,0.77,44.0,16,5.0,5.0,25.08,21.946040641147704
65,35,0.75,42.02,16,4.19,3.0,20.51,20.764526531912278
65,60,0.9,32.0,20,5.0,5.0,15.01,17.460872295303957
55,30,0.0,39.6,12,5.75,4.17,13.87,15.313487267354262
55,30,1.0,44.2,12,5.75,4.17,19.35,17.373232359415475
50,30,0.3,34.32,16,1.56,5.0,8.91,8.314366126092656
40,30,0.13,40.64,14,2.86,5.0,10.82,10.733205019459847
0,0,0.0,39.92,14,5.0,5.0,12.67,12.628388601698656
40,30,0.75,43.36,14,5.0,5.0,13.41,13.33216244660219
65,35,0.75,42.02,12,5.75,5.0,14.33,18.67422603527975
0,0,0.0,23.52,14,2.86,5.0,8.48,8.494640453268925
55,30,0.0,50.8,12,5.75,4.17,17.58,17.87297387507882
80,60,0.13,24.88,14,2.86,5.0,8.74,8.765129406561195
55,30,0.0,39.6,12,5.75,4.17,14.54,15.313487267354262
80,60,0.13,24.88,14,3.93,5.0,9.94,9.88770987892406
65,60,1.5,56.9,12,5.75,4.17,22.3,22.257535887286803
40,30,0.38,41.76,14,2.86,5.0,11.08,11.061433240906414
0,0,0.0,45.28,16,4.19,3.0,19.37,19.84965017613424
80,60,1.0,45.52,14,3.93,5.0,13.58,13.598545043617495
65,60,0.7,44.7,16,4.19,9.38,14.33,14.331493787752095
65,60,1.5,43.8,16,4.19,9.38,15.89,15.895348721337731
55,30,0.0,50.8,12,5.75,4.17,16.89,17.87297387507882
80,60,0.5,26.32,14,5.0,5.0,10.62,10.572793594095103
0,0,0.0,39.92,14,2.86,5.0,10.75,10.748587048446264
55,30,1.0,56.4,12,5.75,4.17,20.79,22.77248694026136
60,30,0.5,26.0,12,6.58,5.0,18.44,18.43843976954738
