lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
0,0,0.0,29.6,8,3.75,3,24.7,12.717102828953006
64,35,0.75,27.9,8,3.75,3,17.6,14.673559724657956
0,0,0.0,29.6,12,2.5,3,24.2,10.617779436966996
64,35,0.75,27.9,12,2.5,3,21.1,11.647651190120175
0,0,0.0,29.6,20,1.5,3,14.6,9.55484269617605
64,35,0.75,27.9,20,1.5,3,14.7,8.591401967049041
0,0,0.0,27.9,16,1.34,5,5.76,7.989023982091241
60,30,0.5,28.4,16,1.34,5,5.78,7.8921352534044775
60,30,1.0,30.5,16,1.34,5,5.67,8.6359818914749
60,30,2.0,30.1,16,1.34,5,7.02,9.804388734084906
0,0,0.0,27.9,16,2.1,5,7.05,8.658211840257387
60,30,0.5,28.4,16,2.1,5,7.32,8.972814031059091
60,30,1.0,30.5,16,2.1,5,9.29,9.841936502323207
60,30,2.0,30.1,16,2.1,5,9.91,11.183923172792259
0,0,0.0,27.5,20,0.88,5,4.3,7.318274528252565
60,30,0.5,32.1,20,0.88,5,4.93,7.158733540044327
60,30,1.0,25.3,20,0.88,5,5.12,5.714646692534592
60,30,2.0,28.7,20,0.88,5,5.52,7.420266190989134
0,0,0.0,27.5,20,1.5,5,5.58,7.835368503337959
60,30,0.5,32.1,20,1.5,5,6.48,8.031125525501311
60,30,1.0,25.3,20,1.5,5,6.93,6.708006769430317
60,30,2.0,28.7,20,1.5,5,7.37,8.606099132769335
0,0,0.0,32.9,25,2.0,5,6.72,9.747081964075587
60,30,0.5,32.0,25,2.0,5,6.19,8.553644824028105
60,30,1.0,28.1,25,2.0,5,7.02,7.778146441068071
60,30,2.0,31.2,25,2.0,5,8.44,9.514813870612512
0,0,0.0,32.9,25,1.0,5,4.05,8.849855840340183
60,30,0.5,32.0,25,1.0,5,4.36,7.0839314074440205
60,30,1.0,28.1,25,1.0,5,4.71,6.0840351371075085
60,30,2.0,31.2,25,1.0,5,5.29,7.467203208619776
0,0,0.0,29.5,32,1.34,5,4.47,10.347735995310552
60,30,0.5,26.9,32,1.34,5,5.23,7.456516369973932
60,30,1.0,28.8,32,1.34,5,5.54,7.566288141551236
60,30,2.0,28.5,32,1.34,5,5.83,7.31532909349161
0,0,0.0,29.5,32,0.56,5,2.84,9.75197698628845
60,30,0.5,26.9,32,0.56,5,3.13,6.405166921617146
60,30,1.0,28.8,32,0.56,5,3.88,6.320119014268013
60,30,2.0,28.5,32,0.56,5,4.04,5.748320284964581
