lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
55,30,1.0,56.4,12,5.75,4.17,21.32,21.349671975823487
40,30,0.13,61.2,14,5.0,5.0,14.94,17.424248907723165
40,30,0.75,64.96,14,3.93,5.0,14.58,17.721634659814743
40,32,0.8,37.36,14,6.0,5.0,15.86,16.380317780181276
40,30,0.13,40.64,14,5.0,5.0,12.83,14.467622179408119
0,0,0.0,60.32,14,2.86,5.0,12.7,14.800855048948621
40,30,1.0,44.4,14,5.0,5.0,13.61,16.491210456470398
80,35,0.77,48.0,8,3.5,5.0,25.36,18.070800781337905
0,0,0.0,45.28,16,4.19,7.0,8.14,12.952465951164791
50,20,2.0,24.0,16,1.84,4.69,5.95,8.936423941200534
80,50,0.51,44.0,12,3.5,5.0,14.36,14.664587040611982
55,30,2.0,59.9,12,5.75,4.17,25.9,24.446007662660154
0,0,0.0,48.0,12,5.0,5.0,24.19,16.01903487049518
80,60,0.25,42.16,14,5.0,5.0,13.15,14.849205676176283
40,32,2.0,45.75,20,6.0,5.0,20.68,20.27519587799258
55,30,2.0,59.9,12,5.75,4.17,25.43,24.446007662660154
55,30,1.0,44.2,12,5.75,4.17,18.28,19.39583082906697
40,32,0.8,39.63,20,6.0,5.0,18.53,16.53560030555938
50,20,1.0,24.0,16,1.84,4.69,6.05,8.104509997887465
40,30,1.0,52.5,12,5.75,4.17,20.42,19.948821236513545
55,30,2.0,45.2,12,5.75,4.17,16.34,21.759051957687134
65,35,0.5,45.88,16,4.19,5.0,16.94,15.202867367598518
80,35,0.51,44.0,8,5.0,5.0,20.7,18.91164182482636
50,20,0.0,24.0,16,4.19,4.69,13.41,11.206499926495983
80,60,0.75,27.28,14,3.93,5.0,10.69,11.766581066669922
40,32,1.2,40.99,20,6.0,5.0,17.51,17.556917209095733
50,20,1.0,24.0,16,1.84,4.69,5.77,8.104509997887465
55,30,0.0,50.8,12,5.75,4.17,15.1,18.221142078332235
40,30,0.5,42.56,14,5.0,5.0,13.35,15.322721693434795
80,60,1.0,45.52,14,5.0,5.0,14.06,17.046563863788492
80,60,0.75,27.28,14,2.86,5.0,9.68,10.036639503832246
55,30,2.0,59.9,12,5.75,4.17,22.86,24.446007662660154
80,50,0.77,44.0,16,5.0,5.0,23.17,16.56101918841577
40,30,0.5,64.08,14,5.0,5.0,15.66,18.639416063755622
40,30,0.75,26.56,14,5.0,5.0,10.36,12.527340212248333
80,60,1.5,58.9,12,5.75,4.17,23.77,22.346227599759715
45,50,0.51,48.0,8,5.0,5.0,20.9,16.331737001496695
40,30,0.38,25.2,14,3.93,5.0,9.97,10.187350790590514
0,0,0.0,45.28,16,4.19,3.0,19.68,15.60906643298113
40,30,0.13,61.2,14,3.93,5.0,13.67,15.861435938510425
40,30,0.5,64.08,14,2.86,5.0,13.58,15.446625401447017
55,30,1.0,44.2,12,5.75,4.17,18.25,19.39583082906697
55,30,1.0,44.2,12,5.75,4.17,20.01,19.39583082906697
55,30,0.0,50.8,12,5.75,4.17,21.41,18.221142078332235
40,30,0.25,61.92,14,2.86,5.0,13.15,14.663990514039586
80,60,0.5,26.32,14,2.86,5.0,9.42,9.518492628602065
40,32,1.2,48.35,16,6.0,5.0,16.38,19.063329498587336
80,50,0.77,44.0,16,5.0,5.0,25.08,16.56101918841577
65,35,0.75,42.02,16,4.19,3.0,20.51,16.69048636529454
65,60,0.9,32.0,20,5.0,5.0,15.01,12.956626452490008
55,30,0.0,39.6,12,5.75,4.17,13.87,16.72008143357568
55,30,1.0,44.2,12,5.75,4.17,19.35,19.39583082906697
50,30,0.3,34.32,16,1.56,5.0,8.91,8.606285903117499
40,30,0.13,40.64,14,2.86,5.0,10.82,11.285350733761378
0,0,0.0,39.92,14,5.0,5.0,12.67,14.440558437820647
40,30,0.75,43.36,14,5.0,5.0,13.41,15.866783599752683
65,35,0.75,42.02,12,5.75,5.0,14.33,18.2671402972413
0,0,0.0,23.52,14,2.86,5.0,8.48,8.94668744341869
55,30,0.0,50.8,12,5.75,4.17,17.58,18.221142078332235
80,60,0.13,24.88,14,2.86,5.0,8.74,8.876716970801898
55,30,0.0,39.6,12,5.75,4.17,14.54,16.72008143357568
80,60,0.13,24.88,14,3.93,5.0,9.94,10.469870631363639
65,60,1.5,56.9,12,5.75,4.17,22.3,21.296296406826862
40,30,0.38,41.76,14,2.86,5.0,11.08,11.694365028074866
0,0,0.0,45.28,16,4.19,3.0,19.37,15.60906643298113
80,60,1.0,45.52,14,3.93,5.0,13.58,15.40181501832722
65,60,0.7,44.7,16,4.19,9.38,14.33,12.391793844061418
65,60,1.5,43.8,16,4.19,9.38,15.89,13.646667040554416
55,30,0.0,50.8,12,5.75,4.17,16.89,18.221142078332235
80,60,0.5,26.32,14,5.0,5.0,10.62,12.908997102971
0,0,0.0,39.92,14,2.86,5.0,10.75,11.710534969411745
55,30,1.0,56.4,12,5.75,4.17,20.79,21.349671975823487
60,30,0.5,26.0,12,6.58,5.0,18.44,16.51852386245299
55,30,1.5,55.4,12,5.75,4.17,22.65,22.428424746416926
55,30,2.0,59.9,12,5.75,4.17,29.73,24.446007662660154
0,0,0.0,23.52,14,3.93,5.0,9.81,10.102093990410216
0,0,0.0,45.28,20,3.25,5.0,9.33,12.775950427343835
60,30,1.0,27.5,12,6.58,8.0,16.07,16.686110807413925
0,0,0.0,45.28,20,3.25,5.0,8.88,12.775950427343835
0,0,0.0,39.92,14,3.93,5.0,12.08,12.998399362441413
40,30,0.75,43.36,14,3.93,5.0,12.63,14.118967562515012
80,60,0.35,43.9,16,4.19,9.38,13.39,12.526770730011796
65,35,1.0,44.59,16,4.19,5.0,16.16,16.08289501271809
65,35,0.75,42.02,16,4.19,7.0,10.4,14.047706437387736
40,30,0.25,61.92,14,3.93,5.0,13.8,16.19517405028776
64,35,0.0,57.66,16,4.19,5.0,19.79,15.67462421276572
55,30,2.0,59.9,12,5.75,4.17,23.48,24.446007662660154
55,30,1.0,56.4,12,5.75,4.17,27.45,21.349671975823487
55,30,0.0,39.6,12,5.75,4.17,15.76,16.72008143357568
80,60,0.38,64.8,14,5.0,5.0,15.62,17.898931513263168
40,30,0.75,64.96,14,2.86,5.0,13.61,16.10735651562983
55,30,0.5,51.6,12,5.75,4.17,20.28,19.453334204563426
55,30,1.0,56.4,12,5.75,4.17,21.89,21.349671975823487
80,60,0.75,44.88,14,5.0,5.0,13.8,16.340567740058525
65,60,2.0,60.6,12,5.75,4.17,22.69,23.31481375094496
55,30,1.5,43.8,16,4.19,9.38,15.48,14.649378349801822
60,30,0.0,22.0,12,6.58,5.0,15.53,15.211032416712785
80,60,0.38,25.92,14,3.93,5.0,10.07,10.960441456217442
55,30,2.0,59.9,12,5.75,4.17,23.62,24.446007662660154
80,60,0.38,64.8,14,2.86,5.0,13.25,14.933573767203386
