lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
55,30,1.0,56.4,12,5.75,4.17,21.32,22.98480357142857
40,30,0.13,61.2,14,5.0,5.0,14.94,14.518875000000097
40,30,0.75,64.96,14,3.93,5.0,14.58,14.35273809523806
40,32,0.8,37.36,14,6.0,5.0,15.86,16.410619047619118
40,30,0.13,40.64,14,5.0,5.0,12.83,12.805392857142888
0,0,0.0,60.32,14,2.86,5.0,12.7,12.698178571428642
40,30,1.0,44.4,14,5.0,5.0,13.61,13.326732142857134
80,35,0.77,48.0,8,3.5,5.0,25.36,24.843178571428773
0,0,0.0,45.28,16,4.19,7.0,8.14,10.112148809523907
50,20,2.0,24.0,16,1.84,4.69,5.95,5.973369047618955
80,50,0.51,44.0,12,3.5,5.0,14.36,14.356946428571517
55,30,2.0,59.9,12,5.75,4.17,25.9,25.034553571428734
0,0,0.0,48.0,12,5.0,5.0,24.19,23.9192261904764
80,60,0.25,42.16,14,5.0,5.0,13.15,13.23242261904755
40,32,2.0,45.75,20,6.0,5.0,20.68,20.120261904762103
55,30,2.0,59.9,12,5.75,4.17,25.43,25.034553571428734
55,30,1.0,44.2,12,5.75,4.17,18.28,17.29148214285738
40,32,0.8,39.63,20,6.0,5.0,18.53,18.60489880952393
50,20,1.0,24.0,16,1.84,4.69,6.05,5.794011904761959
40,30,1.0,52.5,12,5.75,4.17,20.42,20.35035714285715
55,30,2.0,45.2,12,5.75,4.17,16.34,19.078494047619333
65,35,0.5,45.88,16,4.19,5.0,16.94,17.29157738095238
80,35,0.51,44.0,8,5.0,5.0,20.7,20.893982142857425
50,20,0.0,24.0,16,4.19,4.69,13.41,13.561172619047632
80,60,0.75,27.28,14,3.93,5.0,10.69,10.665619047619098
40,32,1.2,40.99,20,6.0,5.0,17.51,17.50405357142872
50,20,1.0,24.0,16,1.84,4.69,5.77,5.794011904761959
55,30,0.0,50.8,12,5.75,4.17,15.1,17.584869047618987
40,30,0.5,42.56,14,5.0,5.0,13.35,13.370976190476185
80,60,1.0,45.52,14,5.0,5.0,14.06,13.736648809523812
