lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
0,0,0.0,29.6,8,3.75,3,24.7,14.04503560621078
64,35,0.75,27.9,8,3.75,3,17.6,15.068039737354926
0,0,0.0,29.6,12,2.5,3,24.2,13.105094775538229
64,35,0.75,27.9,12,2.5,3,21.1,13.206796110497597
0,0,0.0,29.6,20,1.5,3,14.6,13.903509383193763
64,35,0.75,27.9,20,1.5,3,14.7,8.6576140659632
0,0,0.0,27.9,16,1.34,5,5.76,10.427007344308132
60,30,0.5,28.4,16,1.34,5,5.78,6.061598802629854
60,30,1.0,30.5,16,1.34,5,5.67,5.325240495471899
60,30,2.0,30.1,16,1.34,5,7.02,5.912549709585575
0,0,0.0,27.9,16,2.1,5,7.05,10.332217929155505
60,30,0.5,28.4,16,2.1,5,7.32,7.478253906686157
60,30,1.0,30.5,16,2.1,5,9.29,7.482838624779249
60,30,2.0,30.1,16,2.1,5,9.91,9.159031416099584
0,0,0.0,27.5,20,0.88,5,4.3,10.998055009250049
60,30,0.5,32.1,20,0.88,5,4.93,4.7365059986394025
60,30,1.0,25.3,20,0.88,5,5.12,2.7518135740424663
60,30,2.0,28.7,20,0.88,5,5.52,4.854354483765483
0,0,0.0,27.5,20,1.5,5,5.58,10.715799221788187
60,30,0.5,32.1,20,1.5,5,6.48,5.273340867194838
60,30,1.0,25.3,20,1.5,5,6.93,3.954670185079873
60,30,2.0,28.7,20,1.5,5,7.37,6.707597193750752
0,0,0.0,32.9,25,2.0,5,6.72,7.906339006740978
60,30,0.5,32.0,25,2.0,5,6.19,6.418500743502783
60,30,1.0,28.1,25,2.0,5,7.02,6.856919156561688
60,30,2.0,31.2,25,2.0,5,8.44,10.517435549225961
0,0,0.0,32.9,25,1.0,5,4.05,9.048603065408235
60,30,0.5,32.0,25,1.0,5,4.36,6.301987152157314
60,30,1.0,28.1,25,1.0,5,4.71,6.064919271960079
60,30,2.0,31.2,25,1.0,5,5.29,9.011077843670886
0,0,0.0,29.5,32,1.34,5,4.47,12.30222001198406
60,30,0.5,26.9,32,1.34,5,5.23,12.423960554292222
60,30,1.0,28.8,32,1.34,5,5.54,12.40890254698894
60,30,2.0,28.5,32,1.34,5,5.83,13.526719279278922
0,0,0.0,29.5,32,0.56,5,2.84,12.766504562388347
60,30,0.5,26.9,32,0.56,5,3.13,12.710265660053928
60,30,1.0,28.8,32,0.56,5,3.88,12.649972694312698
60,30,2.0,28.5,32,0.56,5,4.04,13.559726986842142
