lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
55,30,1.0,56.4,12,5.75,4.17,21.32,22.978330291958155
40,30,0.13,61.2,14,5.0,5.0,14.94,14.961405492111211
40,30,0.75,64.96,14,3.93,5.0,14.58,14.596426371005405
40,32,0.8,37.36,14,6.0,5.0,15.86,15.565272420106057
40,30,0.13,40.64,14,5.0,5.0,12.83,13.154951084360134
0,0,0.0,60.32,14,2.86,5.0,12.7,12.673751464562422
40,30,1.0,44.4,14,5.0,5.0,13.61,14.305031196360268
80,35,0.77,48.0,8,3.5,5.0,25.36,24.205157001974328
0,0,0.0,45.28,16,4.19,7.0,8.14,10.012400672578083
50,20,2.0,24.0,16,1.84,4.69,5.95,5.970726261843892
80,50,0.51,44.0,12,3.5,5.0,14.36,15.87865955275045
55,30,2.0,59.9,12,5.75,4.17,25.9,25.191881029304742
0,0,0.0,48.0,12,5.0,5.0,24.19,18.1700929069642
80,60,0.25,42.16,14,5.0,5.0,13.15,13.122587847195808
40,32,2.0,45.75,20,6.0,5.0,20.68,20.699323297042024
55,30,2.0,59.9,12,5.75,4.17,25.43,25.191881029304742
55,30,1.0,44.2,12,5.75,4.17,18.28,18.261487406393332
40,32,0.8,39.63,20,6.0,5.0,18.53,16.703498286915515
50,20,1.0,24.0,16,1.84,4.69,6.05,5.801658728261208
40,30,1.0,52.5,12,5.75,4.17,20.42,17.81054311543304
55,30,2.0,45.2,12,5.75,4.17,16.34,19.32391104810924
65,35,0.5,45.88,16,4.19,5.0,16.94,17.633812956036444
80,35,0.51,44.0,8,5.0,5.0,20.7,20.729026150828116
50,20,0.0,24.0,16,4.19,4.69,13.41,13.382741678005425
80,60,0.75,27.28,14,3.93,5.0,10.69,10.539666234624942
40,32,1.2,40.99,20,6.0,5.0,17.51,17.477943541830673
50,20,1.0,24.0,16,1.84,4.69,5.77,5.801658728261208
55,30,0.0,50.8,12,5.75,4.17,15.1,17.550169023991067
40,30,0.5,42.56,14,5.0,5.0,13.35,13.430781145860431
80,60,1.0,45.52,14,5.0,5.0,14.06,14.975836475276639
80,60,0.75,27.28,14,2.86,5.0,9.68,9.636045486492334
55,30,2.0,59.9,12,5.75,4.17,22.86,25.191881029304742
80,50,0.77,44.0,16,5.0,5.0,23.17,17.8359465215849
40,30,0.5,64.08,14,5.0,5.0,15.66,15.633396832957484
40,30,0.75,26.56,14,5.0,5.0,10.36,12.04305166262677
80,60,1.5,58.9,12,5.75,4.17,23.77,23.80072913094073
45,50,0.51,48.0,8,5.0,5.0,20.9,20.869921095392794
40,30,0.38,25.2,14,3.93,5.0,9.97,9.879841446522038
0,0,0.0,45.28,16,4.19,3.0,19.68,19.64621553447948
40,30,0.13,61.2,14,3.93,5.0,13.67,13.64669646042923
