lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
0,0,0.0,29.6,8,3.75,3,24.7,20.211405
64,35,0.75,27.9,8,3.75,3,17.6,22.322283
0,0,0.0,29.6,12,2.5,3,24.2,16.415165
64,35,0.75,27.9,12,2.5,3,21.1,20.10909
0,0,0.0,29.6,20,1.5,3,14.6,10.894975
64,35,0.75,27.9,20,1.5,3,14.7,19.65184
0,0,0.0,27.9,16,1.34,5,5.76,8.049772
60,30,0.5,28.4,16,1.34,5,5.78,10.562171
60,30,1.0,30.5,16,1.34,5,5.67,11.027792
60,30,2.0,30.1,16,1.34,5,7.02,11.258652
0,0,0.0,27.9,16,2.1,5,7.05,9.059751
60,30,0.5,28.4,16,2.1,5,7.32,9.238422
60,30,1.0,30.5,16,2.1,5,9.29,10.20283
60,30,2.0,30.1,16,2.1,5,9.91,12.086081
0,0,0.0,27.5,20,0.88,5,4.3,5.643723
60,30,0.5,32.1,20,0.88,5,4.93,10.853385
60,30,1.0,25.3,20,0.88,5,5.12,10.375236
60,30,2.0,28.7,20,0.88,5,5.52,11.860115
0,0,0.0,27.5,20,1.5,5,5.58,5.643723
60,30,0.5,32.1,20,1.5,5,6.48,10.853385
60,30,1.0,25.3,20,1.5,5,6.93,10.375236
60,30,2.0,28.7,20,1.5,5,7.37,11.860115
0,0,0.0,32.9,25,2.0,5,6.72,6.763139
60,30,0.5,32.0,25,2.0,5,6.19,9.6295
60,30,1.0,28.1,25,2.0,5,7.02,10.068621
60,30,2.0,31.2,25,2.0,5,8.44,12.992235
0,0,0.0,32.9,25,1.0,5,4.05,5.974865
60,30,0.5,32.0,25,1.0,5,4.36,10.853385
60,30,1.0,28.1,25,1.0,5,4.71,10.886783
60,30,2.0,31.2,25,1.0,5,5.29,12.097962
0,0,0.0,29.5,32,1.34,5,4.47,5.9428544
60,30,0.5,26.9,32,1.34,5,5.23,10.3048935
60,30,1.0,28.8,32,1.34,5,5.54,10.886783
60,30,2.0,28.5,32,1.34,5,5.83,11.860115
0,0,0.0,29.5,32,0.56,5,2.84,5.9428544
60,30,0.5,26.9,32,0.56,5,3.13,10.3048935
60,30,1.0,28.8,32,0.56,5,3.88,10.886783
60,30,2.0,28.5,32,0.56,5,4.04,11.860115
