lf/df,lf(mm),Vf(%),fc'(MPa),d(mm),c/d,l/d,"τu,exp(MPa)",Predicted Values
55,30,1.0,56.4,12,5.75,4.17,21.32,22.82915
40,30,0.13,61.2,14,5.0,5.0,14.94,14.919338
40,30,0.75,64.96,14,3.93,5.0,14.58,14.499302
40,32,0.8,37.36,14,6.0,5.0,15.86,15.983364
40,30,0.13,40.64,14,5.0,5.0,12.83,12.901935
0,0,0.0,60.32,14,2.86,5.0,12.7,12.68955
40,30,1.0,44.4,14,5.0,5.0,13.61,13.329042
80,35,0.77,48.0,8,3.5,5.0,25.36,25.36921
0,0,0.0,45.28,16,4.19,7.0,8.14,9.778442
50,20,2.0,24.0,16,1.84,4.69,5.95,6.090386
80,50,0.51,44.0,12,3.5,5.0,14.36,14.459817
55,30,2.0,59.9,12,5.75,4.17,25.9,25.225527
0,0,0.0,48.0,12,5.0,5.0,24.19,24.008314
80,60,0.25,42.16,14,5.0,5.0,13.15,13.166336
40,32,2.0,45.75,20,6.0,5.0,20.68,20.378698
55,30,2.0,59.9,12,5.75,4.17,25.43,25.225527
55,30,1.0,44.2,12,5.75,4.17,18.28,17.310053
40,32,0.8,39.63,20,6.0,5.0,18.53,18.855566
50,20,1.0,24.0,16,1.84,4.69,6.05,5.385656
40,30,1.0,52.5,12,5.75,4.17,20.42,20.444544
55,30,2.0,45.2,12,5.75,4.17,16.34,18.867716
65,35,0.5,45.88,16,4.19,5.0,16.94,16.882195
80,35,0.51,44.0,8,5.0,5.0,20.7,20.655544
50,20,0.0,24.0,16,4.19,4.69,13.41,13.472205
80,60,0.75,27.28,14,3.93,5.0,10.69,10.659875
40,32,1.2,40.99,20,6.0,5.0,17.51,17.327425
50,20,1.0,24.0,16,1.84,4.69,5.77,5.385656
55,30,0.0,50.8,12,5.75,4.17,15.1,17.892508
40,30,0.5,42.56,14,5.0,5.0,13.35,13.265521
80,60,1.0,45.52,14,5.0,5.0,14.06,14.213631
80,60,0.75,27.28,14,2.86,5.0,9.68,9.7097225
55,30,2.0,59.9,12,5.75,4.17,22.86,25.225527
80,50,0.77,44.0,16,5.0,5.0,23.17,21.761618
40,30,0.5,64.08,14,5.0,5.0,15.66,15.7675085
40,30,0.75,26.56,14,5.0,5.0,10.36,10.331658
80,60,1.5,58.9,12,5.75,4.17,23.77,23.695614
45,50,0.51,48.0,8,5.0,5.0,20.9,21.395733
40,30,0.38,25.2,14,3.93,5.0,9.97,9.962767
0,0,0.0,45.28,16,4.19,3.0,19.68,19.794739
40,30,0.13,61.2,14,3.93,5.0,13.67,13.640281
40,30,0.5,64.08,14,2.86,5.0,13.58,13.507979
55,30,1.0,44.2,12,5.75,4.17,18.25,17.310053
55,30,1.0,44.2,12,5.75,4.17,20.01,17.310053
55,30,0.0,50.8,12,5.75,4.17,21.41,17.892508
40,30,0.25,61.92,14,2.86,5.0,13.15,13.02557
80,60,0.5,26.32,14,2.86,5.0,9.42,9.383884
40,32,1.2,48.35,16,6.0,5.0,16.38,16.705383
80,50,0.77,44.0,16,5.0,5.0,25.08,21.761618
65,35,0.75,42.02,16,4.19,3.0,20.51,20.726248
65,60,0.9,32.0,20,5.0,5.0,15.01,17.664526
55,30,0.0,39.6,12,5.75,4.17,13.87,15.231944
55,30,1.0,44.2,12,5.75,4.17,19.35,17.310053
50,30,0.3,34.32,16,1.56,5.0,8.91,8.471303
40,30,0.13,40.64,14,2.86,5.0,10.82,10.812777
0,0,0.0,39.92,14,5.0,5.0,12.67,12.618303
40,30,0.75,43.36,14,5.0,5.0,13.41,13.234708
65,35,0.75,42.02,12,5.75,5.0,14.33,18.954664
0,0,0.0,23.52,14,2.86,5.0,8.48,8.507025
55,30,0.0,50.8,12,5.75,4.17,17.58,17.892508
80,60,0.13,24.88,14,2.86,5.0,8.74,8.8886795
55,30,0.0,39.6,12,5.75,4.17,14.54,15.231944
